0.10 10.0 20000.0 10.0 4.82851e+40 0.39529 -1.44924 3.58389 4.50600e+38 -0.00096
0.10 10.0 20000.0 2.0 4.84111e+40 0.25062 -2.83499 9.87589 9.32800e+38 -0.00269
0.10 10.0 20000.0 5.0 4.83515e+40 0.32463 -2.00752 5.60524 5.30600e+38 -0.00150
0.10 10.0 3000.0 10.0 4.54833e+40 0.66393 -0.11605 1.53810 1.50235e+40 0.00000
0.10 10.0 3000.0 2.0 4.82504e+40 0.42918 -1.22996 2.97522 1.12480e+39 -0.00079
0.10 10.0 3000.0 5.0 4.80636e+40 0.55692 -0.56286 1.77790 1.07468e+40 0.00000
0.10 10.0 5000.0 10.0 4.78350e+40 0.58518 -0.43745 1.66483 1.28997e+40 0.00000
0.10 10.0 5000.0 2.0 4.83090e+40 0.37094 -1.62374 4.14305 4.83000e+38 -0.00115
0.10 10.0 5000.0 5.0 4.81925e+40 0.48209 -0.92915 2.31219 4.15055e+39 -0.00061
0.10 10.0 7000.0 10.0 4.81316e+40 0.53352 -0.67153 1.90479 8.65800e+39 0.00000
0.10 10.0 7000.0 2.0 4.83404e+40 0.33714 -1.89596 5.14723 5.22650e+38 -0.00141
0.10 10.0 7000.0 5.0 4.82413e+40 0.43776 -1.17815 2.84679 1.47435e+39 -0.00078
0.10 10.0 9000.0 10.0 4.81756e+40 0.49683 -0.85233 2.17508 5.33255e+39 -0.00058
0.10 10.0 9000.0 2.0 4.83608e+40 0.31399 -2.10777 6.04001 5.44250e+38 -0.00167
0.10 10.0 9000.0 5.0 4.82729e+40 0.40737 -1.36826 3.34689 4.75950e+38 -0.00091
0.10 100.0 1000.0 10.0 2.97278e+36 0.79485 0.34524 1.75982 8.25317e+35 0.00000
0.10 100.0 1000.0 2.0 4.81884e+36 0.58618 -0.43265 1.66199 1.30720e+36 0.00000
0.10 100.0 1000.0 5.0 4.13018e+36 0.72139 0.09648 1.58201 1.31657e+36 0.00000
0.10 100.0 10000.0 10.0 4.85122e+36 0.48297 -0.92358 2.30323 4.32505e+35 -0.00036
0.10 100.0 10000.0 2.0 4.85141e+36 0.30529 -2.19302 6.42751 4.90100e+34 -0.00137
0.10 100.0 10000.0 5.0 4.85132e+36 0.39602 -1.44313 3.56737 3.29350e+34 -0.00065
0.10 100.0 13000.0 10.0 4.85126e+36 0.44799 -1.11701 2.70445 2.04285e+35 -0.00044
0.10 100.0 13000.0 2.0 4.85143e+36 0.28345 -2.42724 7.57249 6.01600e+34 -0.00169
0.10 100.0 13000.0 5.0 4.85135e+36 0.36749 -1.64863 4.23004 3.78350e+34 -0.00083
0.10 100.0 15000.0 10.0 4.85128e+36 0.42998 -1.22403 2.96197 1.22030e+35 -0.00050
0.10 100.0 15000.0 2.0 4.85143e+36 0.27221 -2.55910 8.27150 6.71250e+34 -0.00183
0.10 100.0 15000.0 5.0 4.85136e+36 0.35285 -1.76349 4.64022 4.02950e+34 -0.00093
0.10 100.0 17000.0 10.0 4.85130e+36 0.41485 -1.31866 3.21057 7.15050e+34 -0.00057
0.10 100.0 17000.0 2.0 4.85144e+36 0.26274 -2.67669 8.92904 7.43150e+34 -0.00208
0.10 100.0 17000.0 5.0 4.85138e+36 0.34053 -1.86576 5.02949 4.20000e+34 -0.00105
0.10 100.0 19000.0 10.0 4.85131e+36 0.40186 -1.40363 3.45050 4.06950e+34 -0.00061
0.10 100.0 19000.0 2.0 4.85145e+36 0.25461 -2.78277 9.55086 8.06800e+34 -0.00220
0.10 100.0 19000.0 5.0 4.85138e+36 0.32996 -1.95819 5.40074 4.37000e+34 -0.00110
0.10 100.0 20000.0 10.0 4.85132e+36 0.39602 -1.44313 3.56737 3.29350e+34 -0.00065
0.10 100.0 20000.0 2.0 4.85145e+36 0.25095 -2.83213 9.84975 8.42950e+34 -0.00227
0.10 100.0 20000.0 5.0 4.85139e+36 0.32520 -2.00133 5.58036 4.42650e+34 -0.00118
0.10 100.0 3000.0 10.0 4.57964e+36 0.66497 -0.11192 1.53831 1.51156e+36 0.00000
0.10 100.0 3000.0 2.0 4.85129e+36 0.42998 -1.22404 2.96199 1.22025e+35 -0.00053
0.10 100.0 3000.0 5.0 4.84263e+36 0.55790 -0.55781 1.77362 1.09231e+36 0.00000
0.10 100.0 5000.0 10.0 4.81883e+36 0.58619 -0.43264 1.66197 1.30722e+36 0.00000
0.10 100.0 5000.0 2.0 4.85135e+36 0.37161 -1.61752 4.12384 3.72100e+34 -0.00079
0.10 100.0 5000.0 5.0 4.85122e+36 0.48297 -0.92358 2.30323 4.32505e+35 -0.00034
0.10 100.0 7000.0 10.0 4.85006e+36 0.53447 -0.66632 1.89920 8.84290e+35 0.00000
0.10 100.0 7000.0 2.0 4.85138e+36 0.33774 -1.88971 5.12391 4.22150e+34 -0.00106
