30.00 30.0 30000.0 10.0 1.60040e+42 0.75993 0.76522 2.14807 2.52150e+41 -0.14726 -2.31087e-01 -3.12373e-01
50.00 50.0 9000.0 1.0 7.49010e+41 0.76217 0.99811 2.71758 9.96182e+40 -0.22166 -5.64839e-01 -3.40730e-01
5.00 3.0 27000.0 15.0 9.11323e+43 0.96704 0.80042 2.08640 1.19727e+43 -0.13753 -2.26945e-01 -3.34751e-01
70.00 5.0 9000.0 1.0 6.39992e+43 0.65397 0.82987 2.44734 9.65865e+42 -0.18155 -4.73041e-01 -2.75844e-01
30.00 7.0 23000.0 15.0 2.15073e+43 0.63841 0.42769 1.74185 4.77994e+42 -0.08713 -1.25249e-01 -2.10457e-01
50.00 9.0 29000.0 15.0 1.36289e+43 0.58106 0.38720 1.81299 2.86809e+42 -0.08498 -1.33522e-01 -1.99284e-01
5.00 3.0 13000.0 10.0 7.26297e+43 0.85786 0.59551 1.79790 1.41243e+43 -0.10327 -1.58149e-01 -2.58239e-01
70.00 50.0 10000.0 15.0 2.68244e+41 0.43114 -0.56338 2.44400 5.94910e+40 -0.03428 -4.48697e-02 -8.99094e-02
50.00 5.0 19000.0 6.0 5.32979e+43 0.64358 0.61877 2.02469 9.47454e+42 -0.12135 -2.05590e-01 -2.54371e-01
100.00 3.0 5000.0 6.0 7.54097e+43 0.42708 -0.62330 2.57384 1.58535e+43 -0.03649 -4.54840e-02 -9.05501e-02
50.00 1.0 20000.0 15.0 9.46985e+44 0.53220 0.17747 1.75927 2.22196e+44 -0.06781 -9.02162e-02 -1.62067e-01
10.00 30.0 3000.0 6.0 4.89903e+41 0.49471 -0.07925 1.62551 1.38080e+41 -0.04227 -5.11533e-02 -1.10002e-01
30.00 90.0 7000.0 3.0 1.58786e+41 0.71551 0.64492 1.96740 2.84134e+40 -0.12230 -1.82228e-01 -2.73055e-01
10.00 70.0 7000.0 15.0 8.58176e+40 0.47602 -0.12986 1.66960 2.36537e+40 -0.03858 -4.93525e-02 -1.02831e-01
50.00 100.0 10000.0 10.0 8.35188e+40 0.49460 -0.01606 1.82040 2.06601e+40 -0.05359 -7.09959e-02 -1.34182e-01
10.00 1.0 29000.0 1.0 4.45686e+45 1.61495 2.25105 7.04091 1.22315e+44 -0.80671 -3.47110e+00 -7.99331e-01
50.00 100.0 7000.0 15.0 5.81863e+40 0.41679 -0.71198 2.63222 1.23618e+40 -0.02829 -3.68047e-02 -7.71069e-02
50.00 7.0 13000.0 15.0 1.59764e+43 0.47657 -0.12589 1.89745 3.96526e+42 -0.04880 -6.11110e-02 -1.22363e-01
5.00 50.0 15000.0 10.0 2.89074e+41 0.90592 0.68587 1.91312 4.76412e+40 -0.11798 -1.83568e-01 -2.90336e-01
50.00 30.0 3000.0 10.0 5.14718e+41 0.40978 -1.05461 3.02638 8.57040e+40 -0.01963 -2.45311e-02 -5.46763e-02
100.00 10.0 5000.0 3.0 8.55810e+42 0.45517 -0.11252 2.11868 1.79178e+42 -0.05639 -8.65965e-02 -1.31713e-01
70.00 7.0 9000.0 1.0 3.26526e+43 0.65397 0.82987 2.44734 4.92789e+42 -0.18155 -4.73040e-01 -2.75842e-01
10.00 70.0 25000.0 3.0 4.99663e+41 1.28969 1.58256 4.14368 2.57685e+40 -0.40434 -1.20347e+00 -7.05682e-01
30.00 1.0 17000.0 15.0 9.06094e+44 0.58117 0.25413 1.65928 2.27757e+44 -0.06991 -9.19746e-02 -1.72330e-01
30.00 70.0 20000.0 3.0 4.08626e+41 0.89159 1.11044 2.88103 4.58204e+40 -0.24898 -5.11718e-01 -4.24087e-01
70.00 7.0 25000.0 1.0 4.05801e+43 0.73214 1.06239 2.97767 5.23036e+42 -0.25599 -1.57122e+00 -2.94630e-01
70.00 5.0 5000.0 3.0 3.85011e+43 0.50574 0.14139 1.86818 8.44095e+42 -0.06810 -9.90915e-02 -1.58665e-01
50.00 5.0 17000.0 1.0 8.87886e+43 0.82613 1.17584 3.18998 1.02018e+43 -0.28692 -1.16673e+00 -3.60714e-01
5.00 90.0 1000.0 3.0 2.98017e+40 0.41276 -0.29162 1.81077 7.34090e+39 -0.02952 -3.79122e-02 -7.99621e-02
5.00 9.0 20000.0 6.0 1.53523e+43 1.17391 1.18403 2.88562 1.02825e+42 -0.23395 -4.64041e-01 -5.26442e-01
70.00 50.0 17000.0 15.0 3.33160e+41 0.47057 -0.11642 1.98179 7.72670e+40 -0.05050 -7.25055e-02 -1.26549e-01
5.00 90.0 19000.0 10.0 1.05097e+41 0.98515 0.83427 2.14339 1.30491e+40 -0.14751 -2.33716e-01 -3.51079e-01
30.00 100.0 25000.0 1.0 3.12075e+41 1.08058 1.57718 4.38272 2.30363e+40 -0.44854 -2.94030e+00 -4.90934e-01
70.00 5.0 27000.0 6.0 5.31867e+43 0.59644 0.60787 2.10346 9.21125e+42 -0.12461 -2.51025e-01 -2.39379e-01
10.00 30.0 1000.0 10.0 1.53868e+41 0.32546 -1.56890 4.42535 1.35645e+40 -0.00930 -1.04595e-02 -2.60644e-02
50.00 30.0 30000.0 15.0 1.24329e+42 0.58546 0.40460 1.82330 2.59276e+41 -0.08906 -1.34018e-01 -2.03899e-01
10.00 50.0 13000.0 6.0 4.56216e+41 0.91847 0.82584 2.15750 6.16129e+40 -0.14809 -2.38202e-01 -3.48494e-01
70.00 70.0 10000.0 1.0 3.34895e+41 0.66230 0.85844 2.50309 4.96341e+40 -0.18559 -5.48266e-01 -2.79480e-01
